point_id,latitude,longitude,date,temp_min,temp_max,temp_mean,humidity_mean,pressure_mean,wind_speed_max,wind_direction,precipitation_total,cloud_cover_mean
P01,14.3871,121.0266,2025-01-01,25.35,28.81,26.733333333333334,86.0,1011.0,5.81,114.0,3.81,91.0
P01,14.3871,121.0266,2025-01-08,25.42,29.87,27.153333333333336,73.0,1012.0,7.6,87.0,0.33,58.0
P01,14.3871,121.0266,2025-01-15,24.22,29.65,26.78,76.0,1014.0,5.36,54.0,0.23,100.0
P01,14.3871,121.0266,2025-01-22,25.67,30.55,27.641666666666666,65.0,1013.0,7.15,100.0,0.0,75.0
P01,14.3871,121.0266,2025-01-29,24.57,28.02,26.10166666666667,72.0,1015.0,6.17,80.0,0.0,97.0
P01,14.3871,121.0266,2025-02-05,24.95,27.72,25.793333333333333,83.0,1011.0,7.6,90.0,0.0,97.0
P01,14.3871,121.0266,2025-02-12,25.1,31.73,27.715,75.0,1014.0,5.36,66.0,0.0,53.0
P01,14.3871,121.0266,2025-02-19,25.95,30.54,27.761666666666667,68.0,1014.0,7.2,70.0,0.0,40.0
P01,14.3871,121.0266,2025-02-26,24.39,28.41,26.26,71.0,1017.0,6.71,114.0,0.0,75.0
P01,14.3871,121.0266,2025-03-05,26.62,33.36,29.30333333333333,66.0,1011.0,5.36,108.0,0.0,20.0
P01,14.3871,121.0266,2025-03-12,25.25,32.3,28.713333333333335,65.0,1013.0,6.26,99.0,0.0,20.0
P01,14.3871,121.0266,2025-03-19,26.04,31.65,28.028333333333332,65.0,1014.0,5.36,100.0,0.0,75.0
P01,14.3871,121.0266,2025-03-26,26.6,33.26,29.323333333333334,59.0,1008.0,4.63,110.0,0.0,20.0
P01,14.3871,121.0266,2025-04-09,27.68,34.09,30.096666666666668,64.0,1012.0,5.36,114.0,0.0,94.0
P01,14.3871,121.0266,2025-04-16,28.29,35.78,31.186666666666667,57.0,1011.0,4.92,91.0,0.0,20.0
P01,14.3871,121.0266,2025-04-23,27.61,35.59,31.060000000000002,59.0,1011.0,5.81,120.0,0.0,68.0
P01,14.3871,121.0266,2025-04-30,28.25,34.44,30.905,57.0,1011.0,6.17,130.0,0.0,20.0
P01,14.3871,121.0266,2025-05-07,26.58,34.53,29.581666666666667,63.0,1008.0,5.66,240.0,0.0,20.0
