point_id,latitude,longitude,date,aqi_mean,co_mean,no_mean,no2_mean,o3_mean,so2_mean,pm2_5_mean,pm10_mean,nh3_mean
P01,14.3871,121.0266,2025-01-01,1.12,370.904,0.11040000000000001,13.962,41.4128,15.978,5.9116,9.829600000000001,3.048
P01,14.3871,121.0266,2025-01-08,2.0,378.514,0.1616,11.6904,74.47279999999999,11.930399999999999,10.5748,16.936400000000003,2.888
P01,14.3871,121.0266,2025-01-15,1.6,380.5168,0.12560000000000002,12.615599999999999,59.965599999999995,14.065999999999999,7.7676,14.078,3.0756
P01,14.3871,121.0266,2025-01-22,1.84,332.05,0.4572,9.1552,71.21039999999999,12.001600000000002,6.966799999999999,16.608,2.8464
P01,14.3871,121.0266,2025-01-29,2.12,403.48040000000003,0.2688,10.387599999999999,84.5708,10.388399999999999,6.2396,10.0708,3.5248000000000004
P01,14.3871,121.0266,2025-02-05,2.24,436.3244,0.27759999999999996,12.5264,86.5748,12.7508,9.2128,14.027999999999999,4.06
P01,14.3871,121.0266,2025-02-12,1.96,386.3904,0.4636,12.362400000000001,75.36,17.366,6.6328,10.8848,3.0616000000000003
P01,14.3871,121.0266,2025-02-19,1.6,436.8592,0.0836,12.54,65.9036,13.4132,8.752,13.5928,3.6439999999999997
P01,14.3871,121.0266,2025-02-26,2.24,391.86519999999996,0.37520000000000003,9.4524,87.1468,12.8552,6.3324,13.1808,2.7916
P01,14.3871,121.0266,2025-03-05,2.0,397.94666666666666,0.21777777777777776,19.172222222222224,25.552222222222223,24.716666666666665,8.224444444444444,14.450000000000001,4.397777777777778
P01,14.3871,121.0266,2025-03-12,1.28,320.9688,0.3788,9.9008,51.04,14.523599999999998,4.2288,7.6912,2.4504
P01,14.3871,121.0266,2025-03-19,2.0,420.7036,0.10640000000000001,11.5328,82.0544,12.983600000000001,6.567200000000001,11.0656,3.734
P01,14.3871,121.0266,2025-03-26,1.3333333333333333,387.5622222222222,0.86,15.841111111111111,23.741111111111113,20.345555555555556,6.222222222222222,12.647777777777778,4.521111111111111
P01,14.3871,121.0266,2025-04-09,1.0,159.37040000000002,0.09,2.1596,42.6444,1.1868,6.976,8.5024,0.9296
