point_id,latitude,longitude,date,aqi_mean,co_mean,no_mean,no2_mean,o3_mean,so2_mean,pm2_5_mean,pm10_mean,nh3_mean
P07,14.4666,120.9847,2024-10-21,1.72,555.8196,5.5664,15.572799999999999,32.7452,16.232,11.536399999999999,17.014,5.5912
P07,14.4666,120.9847,2024-10-28,1.28,480.25160000000005,0.39160000000000006,10.1132,45.4036,6.1032,7.7188,10.804,2.6963999999999997
P07,14.4666,120.9847,2024-11-04,1.52,416.0316,0.5748,16.0836,38.6312,17.4144,6.336,11.9364,4.7063999999999995
P07,14.4666,120.9847,2024-11-11,1.92,685.5964,2.1256,17.235599999999998,19.578400000000002,8.3232,18.8228,25.8848,4.618399999999999
P07,14.4666,120.9847,2024-11-18,1.6,426.31120000000004,0.6272,14.946799999999998,29.1184,14.2172,9.3736,13.888,3.5876
P07,14.4666,120.9847,2024-11-25,2.0,369.9688,0.0604,11.0284,69.6952,12.2976,5.8776,9.700800000000001,3.1683999999999997
P07,14.4666,120.9847,2024-12-02,2.48,1025.9252000000001,3.5892,35.3208,28.2724,22.6972,26.395599999999998,32.9804,6.2176
P07,14.4666,120.9847,2024-12-09,2.0,365.69519999999994,0.1352,10.618,72.78439999999999,10.2568,6.345599999999999,9.218,2.7007999999999996
P07,14.4666,120.9847,2024-12-16,1.8,428.18120000000005,0.1796,11.803199999999999,71.4684,11.34,7.6468,12.374400000000001,3.3672000000000004
P07,14.4666,120.9847,2024-12-23,2.0,294.8,0.10880000000000001,8.8988,78.134,10.423599999999999,5.744400000000001,9.484,2.1176
P07,14.4666,120.9847,2024-12-30,1.64,374.7756,0.3468,12.760399999999999,61.526399999999995,14.724,6.755599999999999,10.075600000000001,2.7612
P08,14.4666,121.0056,2024-07-01,2.44,825.12,8.5808,27.836,12.9152,26.0352,25.1732,31.6308,6.0972
P08,14.4666,121.0056,2024-07-08,2.08,670.3752000000001,7.1692,27.2944,7.2024,26.1504,18.024,23.8548,6.127999999999999
P08,14.4666,121.0056,2024-07-15,2.12,534.7248,1.4043999999999999,21.8448,19.82,17.3764,18.5064,22.985599999999998,4.0848
