route_name,distance_km,duration_min,lat,lon,order
via Lakandula Street,3.88,13.6,14.648246,121.074072,42
via Lakandula Street,3.88,13.6,14.648054,121.074303,43
via Lakandula Street,3.88,13.6,14.647087,121.074285,44
via Lakandula Street,3.88,13.6,14.646793,121.074275,45
via Lakandula Street,3.88,13.6,14.646147,121.074321,46
via Lakandula Street,3.88,13.6,14.644985,121.074472,47
via Lakandula Street,3.88,13.6,14.643992,121.074595,48
via Lakandula Street,3.88,13.6,14.642448,121.074593,49
via Lakandula Street,3.88,13.6,14.641606,121.074556,50
via Lakandula Street,3.88,13.6,14.641185,121.074538,51
via Lakandula Street,3.88,13.6,14.640539,121.074514,52
via Lakandula Street,3.88,13.6,14.640531,121.074759,53
via Lakandula Street,3.88,13.6,14.640524,121.075247,54
via Lakandula Street,3.88,13.6,14.640606,121.075619,55
via Lakandula Street,3.88,13.6,14.640902,121.076145,56
via Lakandula Street,3.88,13.6,14.641103,121.07655,57
via Lakandula Street,3.88,13.6,14.641013,121.077095,58
