point_id,latitude,longitude,timestamp,precipitation_total,source,SPI,SPI_norm,SPI_class,Var,FDI,FDI_class
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,current,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,current,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,1.56,forecast,-0.2501348208379284,0.4583108631936786,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,1.56,forecast,-0.2501348208379284,0.4583108631936786,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.26,forecast,-0.3488036620437204,0.4418660563260466,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.26,forecast,-0.3488036620437204,0.4418660563260466,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.15,forecast,-0.3571525639919027,0.4404745726680162,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.15,forecast,-0.3571525639919027,0.4404745726680162,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,2,0.0,low
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.3685374302848787,0.4385770949525202,normal,0,0.0,low
