point_id,latitude,longitude,timestamp,precipitation_total,source,SPI,SPI_norm,SPI_class
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,current,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,1.56,forecast,-0.2501348208379284,0.4583108631936786,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.26,forecast,-0.3488036620437204,0.4418660563260466,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.15,forecast,-0.3571525639919027,0.4404745726680162,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.16,forecast,-0.35639357290570434,0.4406010711823826,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.17,forecast,-0.35563458181950597,0.440727569696749,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.15,forecast,-0.3571525639919027,0.4404745726680162,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.15,forecast,-0.3571525639919027,0.4404745726680162,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
P63,14.55550000191974,121.01059999999998,2025-10-19T11:15:06+00:00,0.0,forecast,-0.36853743028487873,0.43857709495252023,normal
